2015-01-10 21:06:56 - infiSTAR.de AdminLog | 0h 09min | Gandalf G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 21:07:01 - infiSTAR.de AdminLog | 0h 09min | Gandalf Moving to Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 21:07:04 - infiSTAR.de AdminLog | 0h 09min | Ludacris G_o_d OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:07:12 - infiSTAR.de AdminLog | 0h 09min | Gandalf G_o_d OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 21:07:58 - infiSTAR.de AdminLog | 0h 10min | Ludacris (76561198053094647) spawned Su34 @066167   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:15:29 - infiSTAR.de AdminLog | 0h 18min | Ludacris Adminkilled Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:15:30 - infiSTAR.de AdminLog | 0h 18min | Gandalf Break Legs Gandalf   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 21:15:35 - infiSTAR.de AdminLog | 0h 18min | Ludacris Adminkilled Gandalf   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:16:31 - infiSTAR.de AdminLog | 0h 19min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:16:45 - infiSTAR.de AdminLog | 0h 19min | Ludacris G_o_d OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:17:05 - infiSTAR.de AdminLog | 0h 19min | Gandalf Moving to Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 21:47:29 - infiSTAR.de AdminLog | 0h 50min | Gandalf Moving to Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
